year,cofog_level1_code,dept_code,value
2006,08,Dept017,19961999.979999997
2010,02,Dept017,12269000.000000002
2006,04,NIE099,1217060000.0
2009,01,Dept067,39079000.0
2005,03,SCT075,892868000.0
2009,08,SCT075,198730000.0
2005,10,NIE099,4754802000.0
2009,02,MOD017,35900225000.0
2009,08,Scottish LG Adjustment/Input,867637000.0
2009,07,Northern Irish LG Adjustment/Input,52773000.0
2010,01,England LA data,0.0
2010,04,Dept041,160000000.01
2004,04,Dept022,9829000.01
2009,10,Dept074,0.0
2005,09,Scottish LG Adjustment/Input,4493290000.0
2009,08,Dept048,2139967302.919999
2006,01,PRO067,0.0
2004,09,SCT075,1921980000.0
2009,04,Dept006,9870000.020000001
2008,04,Dept088,29696999.980000004
2008,08,Northern Irish LG Adjustment/Input,251716000.0
2008,06,Dept003,-5308999.989999999
2004,05,NAW090,94345000.0
2005,05,Dept003,1090764299.9499998
2009,04,Scottish LG Adjustment/Input,1381432000.0
2004,08,Northern Irish LG Adjustment/Input,191046000.0
2007,07,DTI084,228591000.0
2004,04,NIE099,1163219000.0
2008,01,HOC036,160282000.0
2007,08,DCM048,3943712000.0
2009,01,Dept005,201596000.02999997
2009,03,Dept004,197448099.76999998
2004,04,Welsh LG Adjustment/Input,445662000.0
2008,03,SCT075,1089257000.0
2009,04,Dept041,155999999.99
2007,05,England LA data,4485211000.0199995
2004,03,Dept089,13118999.969999999
2007,08,DPM085,0.0
2004,01,WOF091,3899000.0
2009,06,Dept032,0.0
2010,08,Dept084,134927000.0
2005,05,EFR003,0.0
2007,04,Dept074,75719000.0
2005,05,England LA data,3967092999.9900007
2004,05,Scottish LG Adjustment/Input,494117000.0
2010,01,LCD047,0.0
2004,08,NAW090,47386000.0
2006,01,DPM085,1272000.0
2005,01,HOL037,68560000.0
2004,05,SCT075,161072000.0
2009,01,EFR003,26000000.0
2008,01,Dept022,0.0
2008,01,Dept047,6897999.9799999995
2006,01,LCD047,2229000.0
2005,08,Scottish LG Adjustment/Input,655257000.0
2007,06,Dept085,2719372040.869998
2007,04,MOD017,33888000.0
2007,07,Northern Irish LG Adjustment/Input,51737000.0
2006,01,IPS069,0.0
2008,03,DWP032,0.0
2004,05,Welsh LG Adjustment/Input,272968000.0
2008,10,Dept074,0.0
2007,04,BTI013,32635000.0
2007,04,Dept025,26408000.0
2006,08,Welsh LG Adjustment/Input,358077000.0
2007,01,ILR041,4224968000.0
2008,01,WOF091,4952000.0
2008,04,Dept022,0.0
2007,03,TSC068,0.0
2010,01,DES022,136987000.0
2009,05,Welsh LG Adjustment/Input,364991000.0
2006,02,Dept004,2211000.019999998
2010,03,Dept066,2000000.0100000002
2009,07,England LA data,291604999.99
2006,04,Dept003,3504363999.950001
2007,10,Dept032,109743044493.00978
2010,01,RMT087,0.0
2007,10,Dept006,0.0
2008,01,Dept009,30589000.010000005
2009,08,Dept090,61614999.989999995
2010,01,Dept067,39071999.99
2005,01,EFR003,0.0
2008,04,BTI013,31869000.0
2005,02,Scottish LG Adjustment/Input,4356000.0
2004,03,England LA data,12721728999.99
2004,05,Dept048,190800000.0
2009,10,Dept022,2679536921.450001
2005,05,SCT075,188685000.0
2006,10,NIE099,5048870000.0
2005,09,NAW090,1151661000.0
2008,09,Dept022,8961472659.239998
2005,04,Welsh LG Adjustment/Input,501908000.0
2008,03,Dept022,120942804.97999999
2004,01,NAW090,248600000.0
2006,01,Dept061,2452000.0
2006,06,NIE099,790640000.0
2005,09,Dept003,550000.01
2005,01,DNS049,172221000.0
2007,04,DTI084,428830000.0
2005,01,Dept004,-28000.0
2005,04,Dept032,3026399999.999998
2004,08,England LA data,3298006999.9600005
2005,04,MOD017,38586000.0
2005,01,HOF034,0.0
2010,04,Dept006,8350999.98
2007,06,Dept003,-7981000.000000002
2008,01,MOD017,46853000.0
2008,02,HMT087,0.0
2008,08,DPM085,0.0
2010,03,Dept047,9207159000.009998
2008,01,Dept030,4980788000.0
2006,05,Scottish LG Adjustment/Input,551312000.0
2005,01,Dept045,43218000.0
2004,01,DWP032,0.0
2007,01,PCO065,0.0
2009,01,CAB010,28942000.0
2005,04,Dept087,0.0
2008,10,Dept084,625727999.9900001
2010,04,HMT087,5350000.0
2008,04,Dept032,2777865000.06
2005,01,PCO065,0.0
2006,05,Dept048,173300000.0
2006,02,Dept010,1414416000.0
2007,08,NIE099,124643000.0
2004,10,England LA data,30192525999.979992
2004,10,Dept030,117197999.99999999
2005,01,Dept066,59142000.0
2004,07,Dept033,67582831000.0
2008,10,Dept022,2159015030.4999995
2006,10,Dept022,1855464000.0
2005,01,HOA038,142015000.0
2009,03,Scottish LG Adjustment/Input,1569462000.0
2006,09,Scottish LG Adjustment/Input,4774355000.0
2009,07,Dept022,6472999.989999999
2009,05,Dept066,2506716999.9700003
2005,05,Dept084,163610999.99
2004,04,BTI013,22989000.0
2007,04,EFR003,0.0
2010,02,Scottish LG Adjustment/Input,0.0
2006,01,Dept048,8800000.0
2009,04,Dept013,62505000.010000005
2004,10,Dept084,348341000.04
2006,04,HMT087,0.0
2009,01,GEO064,75883000.0
2004,10,Dept075,0.0
2008,03,England LA data,14752996999.990002
2010,04,Scottish LG Adjustment/Input,0.0
2005,04,Dept004,7478498904.6500025
2008,01,DFT004,0.0
2007,06,ENG_HRA,2122255000.009999
2007,03,Dept047,8934041001.030003
2007,01,Dept066,58508000.01
2005,01,Scottish LG Adjustment/Input,685291000.0
2010,01,OPC060,34497000.0
2008,01,ELC011,22847000.0
2006,03,NAW090,25118000.0
2010,10,NAW090,139401000.0
2010,04,Dept084,3808985695.6500034
2004,01,GEO064,54738000.0
2009,10,Dept084,708187000.0000001
2005,06,England LA data,3471590999.9900017
2004,01,Dept066,50849999.99
2006,09,DTI084,0.0
2008,07,SCT075,10111363000.0
2005,01,DES022,-1949000.0
2006,02,Welsh LG Adjustment/Input,3226000.0
2004,08,Dept075,39859000.02
2010,01,SCT075,81387000.0
2004,04,HMT087,0.0
2007,07,Dept022,10236999.990000002
2005,04,Dept074,53729000.01
2010,04,NIE099,1503897000.0
2006,01,SCT075,482729000.0
2004,01,SCT075,490461000.0
2007,04,SCT075,3191029000.0
2006,02,Scottish LG Adjustment/Input,4588000.0
2009,04,Northern Irish LG Adjustment/Input,20410000.0
2006,05,Dept041,1000000.0
2007,08,NAW090,87178000.0
2006,01,Dept085,605780888.1300001
2005,01,HGT089,0.0
2006,10,Dept010,535484000.0100002
2009,01,DFT004,378069000.0
2007,03,HOF034,2046536000.0
2010,09,Dept003,473000.00000000006
